Unnamed: 0,id,site,campaign,ephemeroptera,plecoptera,trichoptera
0,2.0,roudoudour,spring,0.0,4.0,4.0
1,6.0,roudoudour,spring,0.0,7.0,3.0
2,15.0,roudoudour,spring,0.0,8.0,0.0
3,7.0,roudoudour,spring,0.0,21.0,3.0
4,5.0,roudoudour,spring,0.0,39.0,3.0
5,4.0,roudoudour,spring,3.0,2.0,0.0
6,14.0,roudoudour,spring,0.0,7.0,1.0
7,3.0,roudoudour,spring,1.0,3.0,6.0
8,1.0,roudoudour,spring,0.0,0.0,0.0
9,32.0,roudoudour,spring,0.0,3.0,0.0
10,13.0,roudoudour,spring,0.0,18.0,2.0
11,12.0,roudoudour,spring,0.0,10.0,0.0
12,33.0,roudoudour,spring,0.0,3.0,4.0
13,16.0,roudoudour,spring,0.0,8.0,1.0
14,30.0,roudoudour,spring,0.0,5.0,3.0
15,17.0,roudoudour,spring,0.0,9.0,2.0
16,20.0,roudoudour,spring,0.0,6.0,1.0
17,19.0,roudoudour,spring,1.0,4.0,5.0
18,18.0,roudoudour,spring,1.0,10.0,3.0
19,34.0,roudoudour,spring,0.0,13.0,6.0
20,2.0,roudoudour,spring,0.0,4.0,4.0
21,6.0,roudoudour,spring,0.0,7.0,3.0
22,15.0,roudoudour,spring,0.0,8.0,0.0
23,7.0,roudoudour,spring,0.0,21.0,3.0
24,5.0,roudoudour,spring,0.0,39.0,3.0
25,4.0,roudoudour,spring,3.0,2.0,0.0
26,14.0,roudoudour,spring,0.0,7.0,1.0
27,3.0,roudoudour,spring,1.0,3.0,6.0
28,1.0,roudoudour,spring,0.0,0.0,0.0
29,32.0,roudoudour,spring,0.0,3.0,0.0
30,13.0,roudoudour,spring,0.0,18.0,2.0
31,12.0,roudoudour,spring,0.0,10.0,0.0
32,33.0,roudoudour,spring,0.0,3.0,4.0
33,16.0,roudoudour,spring,0.0,8.0,1.0
34,30.0,roudoudour,spring,0.0,5.0,3.0
35,17.0,roudoudour,spring,0.0,9.0,2.0
36,20.0,roudoudour,spring,0.0,6.0,1.0
37,19.0,roudoudour,spring,1.0,4.0,5.0
38,18.0,roudoudour,spring,1.0,10.0,3.0
39,34.0,roudoudour,spring,0.0,13.0,6.0
40,29.0,roudoudour,spring,0.0,1.0,3.0
41,35.0,roudoudour,spring,8.0,33.0,0.0
42,10.0,roudoudour,spring,0.0,11.0,1.0
43,11.0,roudoudour,spring,0.0,0.0,3.0
44,24.0,roudoudour,spring,0.0,0.0,1.0
45,25.0,roudoudour,spring,0.0,2.0,0.0
46,26.0,roudoudour,spring,0.0,2.0,0.0
47,27.0,roudoudour,spring,0.0,20.0,1.0
48,38.0,roudoudour,spring,0.0,3.0,3.0
49,39.0,roudoudour,spring,0.0,0.0,0.0
50,8.0,roudoudour,spring,0.0,23.0,1.0
51,9.0,roudoudour,spring,0.0,43.0,3.0
52,31.0,roudoudour,spring,0.0,0.0,3.0
53,28.0,roudoudour,spring,1.0,1.0,1.0
54,37.0,roudoudour,spring,0.0,17.0,0.0
55,36.0,roudoudour,spring,1.0,2.0,0.0
56,51.0,fao,spring,0.0,4.0,0.0
57,49.0,fao,spring,0.0,4.0,2.0
58,50.0,fao,spring,0.0,11.0,2.0
59,21.0,fao,spring,0.0,8.0,2.0
60,48.0,fao,spring,0.0,15.0,2.0
61,20.0,fao,spring,0.0,11.0,1.0
62,16.0,fao,spring,2.0,3.0,2.0
63,17.0,fao,spring,0.0,15.0,2.0
64,2.0,fao,spring,0.0,0.0,1.0
65,1.0,fao,spring,0.0,6.0,0.0
66,24.0,fao,spring,0.0,21.0,0.0
67,23.0,fao,spring,0.0,28.0,0.0
68,22.0,fao,spring,2.0,4.0,1.0
69,52.0,fao,spring,1.0,5.0,2.0
70,15.0,fao,spring,1.0,2.0,0.0
71,18.0,fao,spring,0.0,20.0,3.0
72,13.0,fao,spring,2.0,7.0,2.0
73,14.0,fao,spring,3.0,5.0,2.0
74,12.0,fao,spring,1.0,21.0,1.0
75,10.0,fao,spring,3.0,11.0,1.0
76,26.0,fao,spring,0.0,11.0,0.0
77,3.0,fao,spring,0.0,1.0,0.0
78,27.0,fao,spring,0.0,7.0,0.0
79,4.0,fao,spring,0.0,1.0,0.0
80,28.0,fao,spring,0.0,0.0,0.0
81,8.0,fao,spring,1.0,7.0,1.0
82,9.0,fao,spring,0.0,5.0,1.0
83,11.0,fao,spring,0.0,2.0,4.0
84,7.0,fao,spring,0.0,14.0,3.0
85,6.0,fao,spring,0.0,7.0,1.0
86,5.0,fao,spring,0.0,1.0,0.0
87,43.0,fao,spring,0.0,23.0,2.0
88,44.0,fao,spring,0.0,37.0,1.0
89,42.0,fao,spring,0.0,2.0,1.0
90,41.0,fao,spring,0.0,3.0,1.0
91,37.0,fao,spring,0.0,2.0,1.0
92,40.0,fao,spring,0.0,4.0,10.0
